requested_chemsys,query_chemsys,retrieval_mode,result_count,error,case_id
Ni-Cr-Al,Ni-Cr-Al,exact,3,,hot_section_creep_am
Ni-Cr-Co,Ni-Cr-Co,exact,0,,hot_section_creep_am
Ni-Cr-Co,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Ni-Cr-Co,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Ni-Cr-Co,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Ni-Cr-Co,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Ni-Co-Al,Ni-Co-Al,exact,6,,hot_section_creep_am
Ni-Cr-Ti,Ni-Cr-Ti,exact,0,,hot_section_creep_am
Ni-Cr-Ti,Ni-Cr-Al,fallback_expanded,3,,hot_section_creep_am
Ni-Cr-Co-Al,Ni-Cr-Co-Al,exact,0,,hot_section_creep_am
Ni-Cr-Co-Al,Ni-Cr-Al,fallback_expanded,3,,hot_section_creep_am
Ni-Cr-Co-Ti,Ni-Cr-Co-Ti,exact,0,,hot_section_creep_am
Ni-Cr-Co-Ti,Ni-Cr-Al,fallback_expanded,3,,hot_section_creep_am
Co-Cr-W,Co-Cr-W,exact,0,,hot_section_creep_am
Co-Cr-W,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Co-Cr-W,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Co-Cr-W,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Co-Cr-W,Co+Cr+W,fallback_elements_window,0,,hot_section_creep_am
Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,25,,hot_section_creep_am
Co-Cr-W,Co+W,fallback_cobalt_pair_window,10,,hot_section_creep_am
Co-Cr-Ni,Co-Cr-Ni,exact,0,,hot_section_creep_am
Co-Cr-Ni,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Co-Cr-Ni,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Co-Cr-Ni,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Co-Cr-Ni,Co+Cr+Ni,fallback_elements_window,0,,hot_section_creep_am
Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,25,,hot_section_creep_am
Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,25,,hot_section_creep_am
Co-Ni-W,Co-Ni-W,exact,0,,hot_section_creep_am
Co-Ni-W,Co-Cr-W,fallback_expanded,0,,hot_section_creep_am
Co-Ni-W,Co-Cr-Ni,fallback_expanded,0,,hot_section_creep_am
Co-Ni-W,Co-Cr-Mo,fallback_expanded,0,,hot_section_creep_am
Co-Ni-W,Co-Cr-Ni-W,fallback_expanded,0,,hot_section_creep_am
Co-Ni-W,Co-Cr-W-Ni,fallback_expanded,0,,hot_section_creep_am
Co-Ni-W,Co+Ni+W,fallback_elements_window,0,,hot_section_creep_am
Co-Cr-Mo,Co-Cr-Mo,exact,0,,hot_section_creep_am
Co-Cr-Mo,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Co-Cr-Mo,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Co-Cr-Mo,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,hot_section_creep_am
Co-Cr-Mo,Co+Cr+Mo,fallback_elements_window,0,,hot_section_creep_am
Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,25,,hot_section_creep_am
Co-Cr-Mo,Co+Mo,fallback_cobalt_pair_window,25,,hot_section_creep_am
Co-Cr-Ni-W,Co-Cr-Ni-W,exact,0,,hot_section_creep_am
Co-Cr-Ni-W,Co-Cr-W,fallback_expanded,0,,hot_section_creep_am
Co-Cr-Ni-W,Co-Cr-Ni,fallback_expanded,0,,hot_section_creep_am
Co-Cr-Ni-W,Co-Ni-W,fallback_expanded,0,,hot_section_creep_am
Co-Cr-Ni-W,Co-Cr-Mo,fallback_expanded,0,,hot_section_creep_am
Co-Cr-Ni-W,Co-Cr-W-Ni,fallback_expanded,0,,hot_section_creep_am
Co-Cr-Ni-W,Co+Cr+Ni+W,fallback_elements_window,0,,hot_section_creep_am
Co-Cr-Ni-W,Co+Cr,fallback_cobalt_pair_window,25,,hot_section_creep_am
Co-Cr-Ni-W,Co+Ni,fallback_cobalt_pair_window,25,,hot_section_creep_am
Mo-Nb-Ti,Mo-Nb-Ti,exact,2,,hot_section_creep_am
Mo-Nb-Ta,Mo-Nb-Ta,exact,4,,hot_section_creep_am
Nb-Ti-Zr,Nb-Ti-Zr,exact,1,,hot_section_creep_am
Ti-Al-V,Ti-Al-V,exact,3,,lightweight_strength_to_weight
Ti-Al-Mo,Ti-Al-Mo,exact,2,,lightweight_strength_to_weight
Ti-Al-Nb,Ti-Al-Nb,exact,4,,lightweight_strength_to_weight
Ti-V-Nb,Ti-V-Nb,exact,0,,lightweight_strength_to_weight
Ti-V-Nb,Ti-Al-V,fallback_expanded,3,,lightweight_strength_to_weight
Ti-Al-V-Mo,Ti-Al-V-Mo,exact,0,,lightweight_strength_to_weight
Ti-Al-V-Mo,Ti-Al-V,fallback_expanded,3,,lightweight_strength_to_weight
Ni-Cr-Al,Ni-Cr-Al,exact,3,,lightweight_strength_to_weight
Ni-Cr-Co,Ni-Cr-Co,exact,0,,lightweight_strength_to_weight
Ni-Cr-Co,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,lightweight_strength_to_weight
Ni-Cr-Co,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,lightweight_strength_to_weight
Ni-Cr-Co,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,lightweight_strength_to_weight
Ni-Cr-Co,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,lightweight_strength_to_weight
Ni-Co-Al,Ni-Co-Al,exact,6,,lightweight_strength_to_weight
Ni-Cr-Ti,Ni-Cr-Ti,exact,0,,lightweight_strength_to_weight
Ni-Cr-Ti,Ni-Cr-Al,fallback_expanded,3,,lightweight_strength_to_weight
Co-Cr-W,Co-Cr-W,exact,0,,wear_hot_corrosion
Co-Cr-W,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Co-Cr-W,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Co-Cr-W,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Co-Cr-W,Co+Cr+W,fallback_elements_window,0,,wear_hot_corrosion
Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,25,,wear_hot_corrosion
Co-Cr-W,Co+W,fallback_cobalt_pair_window,10,,wear_hot_corrosion
Co-Cr-Ni,Co-Cr-Ni,exact,0,,wear_hot_corrosion
Co-Cr-Ni,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Co-Cr-Ni,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Co-Cr-Ni,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Co-Cr-Ni,Co+Cr+Ni,fallback_elements_window,0,,wear_hot_corrosion
Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,25,,wear_hot_corrosion
Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,25,,wear_hot_corrosion
Co-Ni-W,Co-Ni-W,exact,0,,wear_hot_corrosion
Co-Ni-W,Co-Cr-W,fallback_expanded,0,,wear_hot_corrosion
Co-Ni-W,Co-Cr-Ni,fallback_expanded,0,,wear_hot_corrosion
Co-Ni-W,Co-Cr-Mo,fallback_expanded,0,,wear_hot_corrosion
Co-Ni-W,Co-Cr-Ni-W,fallback_expanded,0,,wear_hot_corrosion
Co-Ni-W,Co-Cr-W-Ni,fallback_expanded,0,,wear_hot_corrosion
Co-Ni-W,Co+Ni+W,fallback_elements_window,0,,wear_hot_corrosion
Co-Cr-Mo,Co-Cr-Mo,exact,0,,wear_hot_corrosion
Co-Cr-Mo,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Co-Cr-Mo,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Co-Cr-Mo,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Co-Cr-Mo,Co+Cr+Mo,fallback_elements_window,0,,wear_hot_corrosion
Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,25,,wear_hot_corrosion
Co-Cr-Mo,Co+Mo,fallback_cobalt_pair_window,25,,wear_hot_corrosion
Co-Cr-Ni-W,Co-Cr-Ni-W,exact,0,,wear_hot_corrosion
Co-Cr-Ni-W,Co-Cr-W,fallback_expanded,0,,wear_hot_corrosion
Co-Cr-Ni-W,Co-Cr-Ni,fallback_expanded,0,,wear_hot_corrosion
Co-Cr-Ni-W,Co-Ni-W,fallback_expanded,0,,wear_hot_corrosion
Co-Cr-Ni-W,Co-Cr-Mo,fallback_expanded,0,,wear_hot_corrosion
Co-Cr-Ni-W,Co-Cr-W-Ni,fallback_expanded,0,,wear_hot_corrosion
Co-Cr-Ni-W,Co+Cr+Ni+W,fallback_elements_window,0,,wear_hot_corrosion
Co-Cr-Ni-W,Co+Cr,fallback_cobalt_pair_window,25,,wear_hot_corrosion
Co-Cr-Ni-W,Co+Ni,fallback_cobalt_pair_window,25,,wear_hot_corrosion
Co-Cr-W-Ni,Co-Cr-W-Ni,exact,0,,wear_hot_corrosion
Co-Cr-W-Ni,Co-Cr-W,fallback_expanded,0,,wear_hot_corrosion
Co-Cr-W-Ni,Co-Cr-Ni,fallback_expanded,0,,wear_hot_corrosion
Co-Cr-W-Ni,Co-Ni-W,fallback_expanded,0,,wear_hot_corrosion
Co-Cr-W-Ni,Co-Cr-Mo,fallback_expanded,0,,wear_hot_corrosion
Co-Cr-W-Ni,Co-Cr-Ni-W,fallback_expanded,0,,wear_hot_corrosion
Co-Cr-W-Ni,Co+Cr+W+Ni,fallback_elements_window,0,,wear_hot_corrosion
Co-Cr-W-Ni,Co+Cr,fallback_cobalt_pair_window,25,,wear_hot_corrosion
Co-Cr-W-Ni,Co+W,fallback_cobalt_pair_window,10,,wear_hot_corrosion
Ni-Cr-Al,Ni-Cr-Al,exact,3,,wear_hot_corrosion
Ni-Cr-Co,Ni-Cr-Co,exact,0,,wear_hot_corrosion
Ni-Cr-Co,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Ni-Cr-Co,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Ni-Cr-Co,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Ni-Cr-Co,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,wear_hot_corrosion
Ni-Co-Al,Ni-Co-Al,exact,6,,wear_hot_corrosion
Ni-Cr-Ti,Ni-Cr-Ti,exact,0,,wear_hot_corrosion
Ni-Cr-Ti,Ni-Cr-Al,fallback_expanded,3,,wear_hot_corrosion
Ni-Cr-Co-Al,Ni-Cr-Co-Al,exact,0,,wear_hot_corrosion
Ni-Cr-Co-Al,Ni-Cr-Al,fallback_expanded,3,,wear_hot_corrosion
Ni-Cr-Al,Ni-Cr-Al,exact,3,,am_complex_geometry_creep
Ni-Cr-Co,Ni-Cr-Co,exact,0,,am_complex_geometry_creep
Ni-Cr-Co,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Ni-Cr-Co,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Ni-Cr-Co,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Ni-Cr-Co,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Ni-Co-Al,Ni-Co-Al,exact,6,,am_complex_geometry_creep
Ni-Cr-Ti,Ni-Cr-Ti,exact,0,,am_complex_geometry_creep
Ni-Cr-Ti,Ni-Cr-Al,fallback_expanded,3,,am_complex_geometry_creep
Ni-Cr-Co-Al,Ni-Cr-Co-Al,exact,0,,am_complex_geometry_creep
Ni-Cr-Co-Al,Ni-Cr-Al,fallback_expanded,3,,am_complex_geometry_creep
Ni-Cr-Co-Ti,Ni-Cr-Co-Ti,exact,0,,am_complex_geometry_creep
Ni-Cr-Co-Ti,Ni-Cr-Al,fallback_expanded,3,,am_complex_geometry_creep
Co-Cr-W,Co-Cr-W,exact,0,,am_complex_geometry_creep
Co-Cr-W,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Co-Cr-W,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Co-Cr-W,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Co-Cr-W,Co+Cr+W,fallback_elements_window,0,,am_complex_geometry_creep
Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,25,,am_complex_geometry_creep
Co-Cr-W,Co+W,fallback_cobalt_pair_window,10,,am_complex_geometry_creep
Co-Cr-Ni,Co-Cr-Ni,exact,0,,am_complex_geometry_creep
Co-Cr-Ni,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Co-Cr-Ni,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Co-Cr-Ni,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Co-Cr-Ni,Co+Cr+Ni,fallback_elements_window,0,,am_complex_geometry_creep
Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,25,,am_complex_geometry_creep
Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,25,,am_complex_geometry_creep
Co-Ni-W,Co-Ni-W,exact,0,,am_complex_geometry_creep
Co-Ni-W,Co-Cr-W,fallback_expanded,0,,am_complex_geometry_creep
Co-Ni-W,Co-Cr-Ni,fallback_expanded,0,,am_complex_geometry_creep
Co-Ni-W,Co-Cr-Mo,fallback_expanded,0,,am_complex_geometry_creep
Co-Ni-W,Co-Cr-Ni-W,fallback_expanded,0,,am_complex_geometry_creep
Co-Ni-W,Co-Cr-W-Ni,fallback_expanded,0,,am_complex_geometry_creep
Co-Ni-W,Co+Ni+W,fallback_elements_window,0,,am_complex_geometry_creep
Co-Cr-Mo,Co-Cr-Mo,exact,0,,am_complex_geometry_creep
Co-Cr-Mo,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Co-Cr-Mo,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Co-Cr-Mo,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,am_complex_geometry_creep
Co-Cr-Mo,Co+Cr+Mo,fallback_elements_window,0,,am_complex_geometry_creep
Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,25,,am_complex_geometry_creep
Co-Cr-Mo,Co+Mo,fallback_cobalt_pair_window,25,,am_complex_geometry_creep
Mo-Nb-Ti,Mo-Nb-Ti,exact,2,,am_complex_geometry_creep
Mo-Nb-Ta,Mo-Nb-Ta,exact,4,,am_complex_geometry_creep
Nb-Ti-Zr,Nb-Ti-Zr,exact,1,,am_complex_geometry_creep
Ti-Al-V,Ti-Al-V,exact,3,,certification_mature_conventional
Ti-Al-Mo,Ti-Al-Mo,exact,2,,certification_mature_conventional
Ti-Al-Nb,Ti-Al-Nb,exact,4,,certification_mature_conventional
Ti-V-Nb,Ti-V-Nb,exact,0,,certification_mature_conventional
Ti-V-Nb,Ti-Al-V,fallback_expanded,3,,certification_mature_conventional
Ti-Al-V-Mo,Ti-Al-V-Mo,exact,0,,certification_mature_conventional
Ti-Al-V-Mo,Ti-Al-V,fallback_expanded,3,,certification_mature_conventional
Ni-Cr-Al,Ni-Cr-Al,exact,3,,certification_mature_conventional
Ni-Cr-Co,Ni-Cr-Co,exact,0,,certification_mature_conventional
Ni-Cr-Co,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,certification_mature_conventional
Ni-Cr-Co,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,certification_mature_conventional
Ni-Cr-Co,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,certification_mature_conventional
Ni-Cr-Co,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,certification_mature_conventional
Ni-Co-Al,Ni-Co-Al,exact,6,,certification_mature_conventional
Ni-Cr-Ti,Ni-Cr-Ti,exact,0,,certification_mature_conventional
Ni-Cr-Ti,Ni-Cr-Al,fallback_expanded,3,,certification_mature_conventional
Fe-Ni-Cr,Fe-Ni-Cr,exact,0,,certification_mature_conventional
Fe-Ni-Cr,Fe-Ni-Cr-Al,fallback_expanded,0,,certification_mature_conventional
Fe-Ni-Cr,Fe-Ni-Cr-Co,fallback_expanded,2,,certification_mature_conventional
Fe-Ni-Cr,Fe-Ni-Cr-Co-Al,fallback_expanded,0,,certification_mature_conventional
Fe-Ni-Cr-Al,Fe-Ni-Cr-Al,exact,0,,certification_mature_conventional
Fe-Ni-Cr-Al,Fe-Ni-Cr,fallback_expanded,0,,certification_mature_conventional
Fe-Ni-Cr-Al,Fe-Ni-Cr-Co,fallback_expanded,2,,certification_mature_conventional
Fe-Ni-Cr-Al,Fe-Ni-Cr-Co-Al,fallback_expanded,0,,certification_mature_conventional
Fe-Ni-Cr-Co,Fe-Ni-Cr-Co,exact,2,,certification_mature_conventional
Fe-Ni-Cr-Co,Fe-Ni-Cr,fallback_expanded,0,,certification_mature_conventional
Fe-Ni-Cr-Co,Fe-Ni-Cr-Al,fallback_expanded,0,,certification_mature_conventional
Fe-Ni-Cr-Co,Fe-Ni-Cr-Co-Al,fallback_expanded,0,,certification_mature_conventional
Ni-Cr-Al,Ni-Cr-Al,exact,3,,extreme_temperature_refractory
Ni-Cr-Co,Ni-Cr-Co,exact,0,,extreme_temperature_refractory
Ni-Cr-Co,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Ni-Cr-Co,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Ni-Cr-Co,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Ni-Cr-Co,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Ni-Co-Al,Ni-Co-Al,exact,6,,extreme_temperature_refractory
Ni-Cr-Ti,Ni-Cr-Ti,exact,0,,extreme_temperature_refractory
Ni-Cr-Ti,Ni-Cr-Al,fallback_expanded,3,,extreme_temperature_refractory
Ni-Cr-Co-Al,Ni-Cr-Co-Al,exact,0,,extreme_temperature_refractory
Ni-Cr-Co-Al,Ni-Cr-Al,fallback_expanded,3,,extreme_temperature_refractory
Ni-Cr-Co-Ti,Ni-Cr-Co-Ti,exact,0,,extreme_temperature_refractory
Ni-Cr-Co-Ti,Ni-Cr-Al,fallback_expanded,3,,extreme_temperature_refractory
Mo-Nb-Ti,Mo-Nb-Ti,exact,2,,extreme_temperature_refractory
Mo-Nb-Ta,Mo-Nb-Ta,exact,4,,extreme_temperature_refractory
Nb-Ti-Zr,Nb-Ti-Zr,exact,1,,extreme_temperature_refractory
Mo-Nb-Ti-Zr,Mo-Nb-Ti-Zr,exact,0,,extreme_temperature_refractory
Mo-Nb-Ti-Zr,Mo-Nb-Ti,fallback_expanded,2,,extreme_temperature_refractory
Mo-Nb-Ta-Ti,Mo-Nb-Ta-Ti,exact,0,,extreme_temperature_refractory
Mo-Nb-Ta-Ti,Mo-Nb-Ti,fallback_expanded,2,,extreme_temperature_refractory
Co-Cr-W,Co-Cr-W,exact,0,,extreme_temperature_refractory
Co-Cr-W,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Co-Cr-W,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Co-Cr-W,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Co-Cr-W,Co+Cr+W,fallback_elements_window,0,,extreme_temperature_refractory
Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,25,,extreme_temperature_refractory
Co-Cr-W,Co+W,fallback_cobalt_pair_window,10,,extreme_temperature_refractory
Co-Cr-Ni,Co-Cr-Ni,exact,0,,extreme_temperature_refractory
Co-Cr-Ni,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Co-Cr-Ni,Co-Cr-Mo,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Co-Cr-Ni,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Co-Cr-Ni,Co+Cr+Ni,fallback_elements_window,0,,extreme_temperature_refractory
Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,25,,extreme_temperature_refractory
Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,25,,extreme_temperature_refractory
Co-Ni-W,Co-Ni-W,exact,0,,extreme_temperature_refractory
Co-Ni-W,Co-Cr-W,fallback_expanded,0,,extreme_temperature_refractory
Co-Ni-W,Co-Cr-Ni,fallback_expanded,0,,extreme_temperature_refractory
Co-Ni-W,Co-Cr-Mo,fallback_expanded,0,,extreme_temperature_refractory
Co-Ni-W,Co-Cr-Ni-W,fallback_expanded,0,,extreme_temperature_refractory
Co-Ni-W,Co-Cr-W-Ni,fallback_expanded,0,,extreme_temperature_refractory
Co-Ni-W,Co+Ni+W,fallback_elements_window,0,,extreme_temperature_refractory
Co-Cr-Mo,Co-Cr-Mo,exact,0,,extreme_temperature_refractory
Co-Cr-Mo,Co-Cr-W,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Co-Cr-Mo,Co-Cr-Ni,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Co-Cr-Mo,Co-Cr-Ni-W,fallback_cobalt_anchor_chemsys,0,,extreme_temperature_refractory
Co-Cr-Mo,Co+Cr+Mo,fallback_elements_window,0,,extreme_temperature_refractory
Co-Cr-Mo,Co+Cr,fallback_cobalt_pair_window,25,,extreme_temperature_refractory
Co-Cr-Mo,Co+Mo,fallback_cobalt_pair_window,25,,extreme_temperature_refractory
Co-Cr-Ni-W,Co-Cr-Ni-W,exact,0,,extreme_temperature_refractory
Co-Cr-Ni-W,Co-Cr-W,fallback_expanded,0,,extreme_temperature_refractory
Co-Cr-Ni-W,Co-Cr-Ni,fallback_expanded,0,,extreme_temperature_refractory
Co-Cr-Ni-W,Co-Ni-W,fallback_expanded,0,,extreme_temperature_refractory
Co-Cr-Ni-W,Co-Cr-Mo,fallback_expanded,0,,extreme_temperature_refractory
Co-Cr-Ni-W,Co-Cr-W-Ni,fallback_expanded,0,,extreme_temperature_refractory
Co-Cr-Ni-W,Co+Cr+Ni+W,fallback_elements_window,0,,extreme_temperature_refractory
Co-Cr-Ni-W,Co+Cr,fallback_cobalt_pair_window,25,,extreme_temperature_refractory
Co-Cr-Ni-W,Co+Ni,fallback_cobalt_pair_window,25,,extreme_temperature_refractory
